Title    : 2023_Average_Jan_hr_10_2
Version  : Emfac-HK V4.3 V4.3.0.0 Sp: V4.3 Pr: Emfac-HK HK4.3
Run Date : 2021/12/29 11:33:34
Scen Year: 2023 -- All model years in the range 1979 to 2023 selected
Season   : Annual
Area     : Hong Kong
*****************************************************************************************
Year:,2023,, -- Model Years,,1979, to ,2023, Inclusive --,,,Annual
     Emfac-HK V4.3 Emission Factors: V4.3.0.0 Sp: V4.3 Pr: Emfac-HK HK4.3

SAR Average,,,,,      Hong Kong,,,,,,SAR Average

,,,,Table  1:  Running Exhaust Emissions (grams/km)

Pollutant Name: Volatile Org Cpds,,,,Temperature: 19C,,Relative Humidity: 68%

Speed,PC,PC,PC,PC,PC,TAXI,TAXI,TAXI,TAXI,TAXI,LGV3,LGV3,LGV3,LGV3,LGV3,LGV4,LGV4,LGV4,LGV4,LGV4,LGV6,LGV6,LGV6,LGV6,LGV6,HGV7,HGV7,HGV7,HGV7,HGV7,HGV8,HGV8,HGV8,HGV8,HGV8,PLB,PLB,PLB,PLB,PLB,PV4,PV4,PV4,PV4,PV4,PV5,PV5,PV5,PV5,PV5,NFB6,NFB6,NFB6,NFB6,NFB6,NFB7,NFB7,NFB7,NFB7,NFB7,NFB8,NFB8,NFB8,NFB8,NFB8,FBSD,FBSD,FBSD,FBSD,FBSD,FBDD,FBDD,FBDD,FBDD,FBDD,MC,MC,MC,MC,MC,HGV9,HGV9,HGV9,HGV9,HGV9,NFB9,NFB9,NFB9,NFB9,NFB9,ALL,ALL,ALL,ALL,ALL,
km/hr,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,

   39,   1.5751,   0.0082,   0.0479,   0.0000,   0.0093,   0.0000,   0.0067,   0.0000,   0.0183,   0.0183,   1.5733,   0.4920,   0.0245,   0.0000,   0.0519,   1.5733,   0.1069,   0.0229,   0.0000,   0.0253,   0.0000,   0.0000,   0.0166,   0.0000,   0.0166,   0.0000,   0.0000,   0.0827,   0.0000,   0.0827,   0.0000,   0.0000,   0.0468,   0.0000,   0.0468,   0.0000,   0.0000,   0.0598,   0.6936,   0.4180,   0.0000,   0.1090,   0.0344,   0.0000,   0.0543,   0.0000,   0.6580,   0.0493,   0.6394,   0.1686,   0.0000,   0.0000,   0.1646,   0.0000,   0.1646,   0.0000,   0.0000,   0.3009,   0.0000,   0.3009,   0.0000,   0.0000,   0.0415,   0.0000,   0.0415,   0.0000,   0.0000,   0.0658,   0.0000,   0.0658,   0.0000,   0.0000,   0.0776,   0.0000,   0.0776,   0.8069,   0.1658,   0.0000,   0.0000,   0.5597,   0.0000,   0.0000,   0.0527,   0.0000,   0.0527,   0.0000,   0.0000,   0.0391,   0.0000,   0.0391,   0.8127,   0.0124,   0.0491,   0.0694,   0.0491,
   40,   1.5394,   0.0083,   0.0469,   0.0000,   0.0093,   0.0000,   0.0067,   0.0000,   0.0179,   0.0179,   1.5376,   0.4787,   0.0240,   0.0000,   0.0507,   1.5376,   0.1035,   0.0224,   0.0000,   0.0248,   0.0000,   0.0000,   0.0161,   0.0000,   0.0161,   0.0000,   0.0000,   0.0812,   0.0000,   0.0812,   0.0000,   0.0000,   0.0460,   0.0000,   0.0460,   0.0000,   0.0000,   0.0588,   0.6835,   0.4118,   0.0000,   0.1056,   0.0336,   0.0000,   0.0528,   0.0000,   0.6512,   0.0485,   0.6289,   0.1658,   0.0000,   0.0000,   0.1618,   0.0000,   0.1618,   0.0000,   0.0000,   0.2958,   0.0000,   0.2958,   0.0000,   0.0000,   0.0409,   0.0000,   0.0409,   0.0000,   0.0000,   0.0645,   0.0000,   0.0645,   0.0000,   0.0000,   0.0761,   0.0000,   0.0761,   0.7853,   0.1606,   0.0000,   0.0000,   0.5445,   0.0000,   0.0000,   0.0518,   0.0000,   0.0518,   0.0000,   0.0000,   0.0385,   0.0000,   0.0385,   0.7910,   0.0123,   0.0482,   0.0683,   0.0482,
   41,   1.5055,   0.0077,   0.0459,   0.0000,   0.0087,   0.0000,   0.0062,   0.0000,   0.0176,   0.0176,   1.5037,   0.4660,   0.0236,   0.0000,   0.0496,   1.5037,   0.1004,   0.0219,   0.0000,   0.0242,   0.0000,   0.0000,   0.0157,   0.0000,   0.0157,   0.0000,   0.0000,   0.0798,   0.0000,   0.0798,   0.0000,   0.0000,   0.0452,   0.0000,   0.0452,   0.0000,   0.0000,   0.0578,   0.6737,   0.4059,   0.0000,   0.1024,   0.0330,   0.0000,   0.0515,   0.0000,   0.6447,   0.0477,   0.6189,   0.1632,   0.0000,   0.0000,   0.1590,   0.0000,   0.1590,   0.0000,   0.0000,   0.2909,   0.0000,   0.2909,   0.0000,   0.0000,   0.0404,   0.0000,   0.0404,   0.0000,   0.0000,   0.0632,   0.0000,   0.0632,   0.0000,   0.0000,   0.0747,   0.0000,   0.0747,   0.7649,   0.1557,   0.0000,   0.0000,   0.5301,   0.0000,   0.0000,   0.0508,   0.0000,   0.0508,   0.0000,   0.0000,   0.0380,   0.0000,   0.0380,   0.7705,   0.0116,   0.0473,   0.0673,   0.0470,
   42,   1.4734,   0.0076,   0.0450,   0.0000,   0.0086,   0.0000,   0.0061,   0.0000,   0.0173,   0.0173,   1.4717,   0.4540,   0.0231,   0.0000,   0.0485,   1.4717,   0.0975,   0.0215,   0.0000,   0.0237,   0.0000,   0.0000,   0.0152,   0.0000,   0.0152,   0.0000,   0.0000,   0.0784,   0.0000,   0.0784,   0.0000,   0.0000,   0.0444,   0.0000,   0.0444,   0.0000,   0.0000,   0.0568,   0.6643,   0.4002,   0.0000,   0.0994,   0.0323,   0.0000,   0.0502,   0.0000,   0.6383,   0.0469,   0.6092,   0.1606,   0.0000,   0.0000,   0.1564,   0.0000,   0.1564,   0.0000,   0.0000,   0.2859,   0.0000,   0.2859,   0.0000,   0.0000,   0.0398,   0.0000,   0.0398,   0.0000,   0.0000,   0.0621,   0.0000,   0.0621,   0.0000,   0.0000,   0.0733,   0.0000,   0.0733,   0.7456,   0.1512,   0.0000,   0.0000,   0.5165,   0.0000,   0.0000,   0.0500,   0.0000,   0.0500,   0.0000,   0.0000,   0.0375,   0.0000,   0.0375,   0.7511,   0.0114,   0.0464,   0.0662,   0.0462,
   43,   1.4430,   0.0076,   0.0441,   0.0000,   0.0086,   0.0000,   0.0061,   0.0000,   0.0169,   0.0169,   1.4413,   0.4425,   0.0226,   0.0000,   0.0474,   1.4413,   0.0947,   0.0211,   0.0000,   0.0232,   0.0000,   0.0000,   0.0148,   0.0000,   0.0148,   0.0000,   0.0000,   0.0771,   0.0000,   0.0771,   0.0000,   0.0000,   0.0437,   0.0000,   0.0437,   0.0000,   0.0000,   0.0559,   0.6553,   0.3946,   0.0000,   0.0966,   0.0317,   0.0000,   0.0490,   0.0000,   0.6322,   0.0461,   0.5999,   0.1581,   0.0000,   0.0000,   0.1537,   0.0000,   0.1537,   0.0000,   0.0000,   0.2811,   0.0000,   0.2811,   0.0000,   0.0000,   0.0393,   0.0000,   0.0393,   0.0000,   0.0000,   0.0609,   0.0000,   0.0609,   0.0000,   0.0000,   0.0720,   0.0000,   0.0720,   0.7274,   0.1468,   0.0000,   0.0000,   0.5036,   0.0000,   0.0000,   0.0491,   0.0000,   0.0491,   0.0000,   0.0000,   0.0370,   0.0000,   0.0370,   0.7328,   0.0113,   0.0456,   0.0653,   0.0453,
   44,   1.4142,   0.0075,   0.0433,   0.0000,   0.0085,   0.0000,   0.0061,   0.0000,   0.0166,   0.0166,   1.4125,   0.4317,   0.0222,   0.0000,   0.0464,   1.4125,   0.0920,   0.0207,   0.0000,   0.0228,   0.0000,   0.0000,   0.0144,   0.0000,   0.0144,   0.0000,   0.0000,   0.0758,   0.0000,   0.0758,   0.0000,   0.0000,   0.0430,   0.0000,   0.0430,   0.0000,   0.0000,   0.0549,   0.6465,   0.3893,   0.0000,   0.0939,   0.0311,   0.0000,   0.0478,   0.0000,   0.6263,   0.0453,   0.5910,   0.1556,   0.0000,   0.0000,   0.1511,   0.0000,   0.1511,   0.0000,   0.0000,   0.2763,   0.0000,   0.2763,   0.0000,   0.0000,   0.0388,   0.0000,   0.0388,   0.0000,   0.0000,   0.0598,   0.0000,   0.0598,   0.0000,   0.0000,   0.0708,   0.0000,   0.0708,   0.7101,   0.1427,   0.0000,   0.0000,   0.4914,   0.0000,   0.0000,   0.0483,   0.0000,   0.0483,   0.0000,   0.0000,   0.0365,   0.0000,   0.0365,   0.7155,   0.0111,   0.0448,   0.0643,   0.0445,
   45,   1.3870,   0.0075,   0.0425,   0.0000,   0.0084,   0.0000,   0.0061,   0.0000,   0.0163,   0.0163,   1.3853,   0.4213,   0.0218,   0.0000,   0.0455,   1.3853,   0.0896,   0.0203,   0.0000,   0.0223,   0.0000,   0.0000,   0.0140,   0.0000,   0.0140,   0.0000,   0.0000,   0.0745,   0.0000,   0.0745,   0.0000,   0.0000,   0.0423,   0.0000,   0.0423,   0.0000,   0.0000,   0.0540,   0.6381,   0.3841,   0.0000,   0.0913,   0.0305,   0.0000,   0.0467,   0.0000,   0.6206,   0.0445,   0.5824,   0.1533,   0.0000,   0.0000,   0.1486,   0.0000,   0.1486,   0.0000,   0.0000,   0.2717,   0.0000,   0.2717,   0.0000,   0.0000,   0.0383,   0.0000,   0.0383,   0.0000,   0.0000,   0.0588,   0.0000,   0.0588,   0.0000,   0.0000,   0.0696,   0.0000,   0.0696,   0.6938,   0.1389,   0.0000,   0.0000,   0.4799,   0.0000,   0.0000,   0.0476,   0.0000,   0.0476,   0.0000,   0.0000,   0.0360,   0.0000,   0.0360,   0.6991,   0.0110,   0.0440,   0.0634,   0.0437,
   46,   1.3612,   0.0074,   0.0417,   0.0000,   0.0084,   0.0000,   0.0061,   0.0000,   0.0160,   0.0160,   1.3596,   0.4115,   0.0214,   0.0000,   0.0446,   1.3596,   0.0872,   0.0199,   0.0000,   0.0219,   0.0000,   0.0000,   0.0136,   0.0000,   0.0136,   0.0000,   0.0000,   0.0732,   0.0000,   0.0732,   0.0000,   0.0000,   0.0416,   0.0000,   0.0416,   0.0000,   0.0000,   0.0531,   0.6300,   0.3791,   0.0000,   0.0889,   0.0299,   0.0000,   0.0456,   0.0000,   0.6150,   0.0438,   0.5741,   0.1510,   0.0000,   0.0000,   0.1461,   0.0000,   0.1461,   0.0000,   0.0000,   0.2671,   0.0000,   0.2671,   0.0000,   0.0000,   0.0379,   0.0000,   0.0379,   0.0000,   0.0000,   0.0578,   0.0000,   0.0578,   0.0000,   0.0000,   0.0685,   0.0000,   0.0685,   0.6784,   0.1352,   0.0000,   0.0000,   0.4690,   0.0000,   0.0000,   0.0469,   0.0000,   0.0469,   0.0000,   0.0000,   0.0356,   0.0000,   0.0356,   0.6836,   0.0108,   0.0432,   0.0625,   0.0430,
