Speed,PC,PC,PC,PC,PC,TAXI,TAXI,TAXI,TAXI,TAXI,LGV3,LGV3,LGV3,LGV3,LGV3,LGV4,LGV4,LGV4,LGV4,LGV4,LGV6,LGV6,LGV6,LGV6,LGV6,HGV7,HGV7,HGV7,HGV7,HGV7,HGV8,HGV8,HGV8,HGV8,HGV8,PLB,PLB,PLB,PLB,PLB,PV4,PV4,PV4,PV4,PV4,PV5,PV5,PV5,PV5,PV5,NFB6,NFB6,NFB6,NFB6,NFB6,NFB7,NFB7,NFB7,NFB7,NFB7,NFB8,NFB8,NFB8,NFB8,NFB8,FBSD,FBSD,FBSD,FBSD,FBSD,FBDD,FBDD,FBDD,FBDD,FBDD,MC,MC,MC,MC,MC,HGV9,HGV9,HGV9,HGV9,HGV9,NFB9,NFB9,NFB9,NFB9,NFB9,ALL,ALL,ALL,ALL,ALL,
km/hr,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,

   23,   2.5019,   0.0124,   0.0702,   0.0000,   0.0140,   0.0000,   0.0097,   0.0000,   0.0279,   0.0279,   2.4989,   0.8316,   0.0358,   0.0000,   0.0812,   2.4989,   0.1979,   0.0334,   0.0000,   0.0382,   0.0000,   0.0000,   0.0314,   0.0000,   0.0314,   0.0000,   0.0000,   0.1753,   0.0000,   0.1753,   0.0000,   0.0000,   0.0711,   0.0000,   0.0711,   0.0000,   0.0000,   0.1272,   0.9402,   0.5866,   0.0000,   0.2022,   0.0501,   0.0000,   0.0907,   0.0000,   0.8172,   0.1049,   0.8993,   0.2653,   0.0000,   0.0000,   0.3499,   0.0000,   0.3499,   0.0000,   0.0000,   0.6399,   0.0000,   0.6399,   0.0000,   0.0000,   0.0566,   0.0000,   0.0566,   0.0000,   0.0000,   0.0995,   0.0000,   0.0995,   0.0000,   0.0000,   0.1162,   0.0000,   0.1162,   1.3851,   0.3075,   0.0000,   0.0000,   0.9697,   0.0000,   0.0000,   0.0802,   0.0000,   0.0802,   0.0000,   0.0000,   0.0539,   0.0000,   0.0539,   1.3936,   0.0203,   0.0861,   0.0972,   0.0797,
   24,   2.4178,   0.0119,   0.0683,   0.0000,   0.0135,   0.0000,   0.0093,   0.0000,   0.0270,   0.0270,   2.4150,   0.8009,   0.0349,   0.0000,   0.0787,   2.4150,   0.1892,   0.0325,   0.0000,   0.0371,   0.0000,   0.0000,   0.0298,   0.0000,   0.0298,   0.0000,   0.0000,   0.1596,   0.0000,   0.1596,   0.0000,   0.0000,   0.0686,   0.0000,   0.0686,   0.0000,   0.0000,   0.1156,   0.9176,   0.5688,   0.0000,   0.1934,   0.0489,   0.0000,   0.0874,   0.0000,   0.8030,   0.0954,   0.8751,   0.2528,   0.0000,   0.0000,   0.3181,   0.0000,   0.3181,   0.0000,   0.0000,   0.5818,   0.0000,   0.5818,   0.0000,   0.0000,   0.0552,   0.0000,   0.0552,   0.0000,   0.0000,   0.0962,   0.0000,   0.0962,   0.0000,   0.0000,   0.1124,   0.0000,   0.1124,   1.3312,   0.2940,   0.0000,   0.0000,   0.9314,   0.0000,   0.0000,   0.0774,   0.0000,   0.0774,   0.0000,   0.0000,   0.0524,   0.0000,   0.0524,   1.3394,   0.0194,   0.0810,   0.0946,   0.0763,
   25,   2.3382,   0.0114,   0.0666,   0.0000,   0.0130,   0.0000,   0.0089,   0.0000,   0.0261,   0.0261,   2.3354,   0.7718,   0.0340,   0.0000,   0.0762,   2.3354,   0.1811,   0.0317,   0.0000,   0.0360,   0.0000,   0.0000,   0.0284,   0.0000,   0.0284,   0.0000,   0.0000,   0.1454,   0.0000,   0.1454,   0.0000,   0.0000,   0.0663,   0.0000,   0.0663,   0.0000,   0.0000,   0.1052,   0.8964,   0.5523,   0.0000,   0.1851,   0.0476,   0.0000,   0.0842,   0.0000,   0.7897,   0.0868,   0.8524,   0.2414,   0.0000,   0.0000,   0.2895,   0.0000,   0.2895,   0.0000,   0.0000,   0.5295,   0.0000,   0.5295,   0.0000,   0.0000,   0.0538,   0.0000,   0.0538,   0.0000,   0.0000,   0.0932,   0.0000,   0.0932,   0.0000,   0.0000,   0.1090,   0.0000,   0.1090,   1.2804,   0.2813,   0.0000,   0.0000,   0.8953,   0.0000,   0.0000,   0.0748,   0.0000,   0.0748,   0.0000,   0.0000,   0.0511,   0.0000,   0.0511,   1.2884,   0.0186,   0.0763,   0.0922,   0.0731,
   26,   2.2628,   0.0110,   0.0648,   0.0000,   0.0125,   0.0000,   0.0086,   0.0000,   0.0253,   0.0253,   2.2601,   0.7442,   0.0332,   0.0000,   0.0739,   2.2601,   0.1735,   0.0309,   0.0000,   0.0351,   0.0000,   0.0000,   0.0271,   0.0000,   0.0271,   0.0000,   0.0000,   0.1328,   0.0000,   0.1328,   0.0000,   0.0000,   0.0642,   0.0000,   0.0642,   0.0000,   0.0000,   0.0960,   0.8764,   0.5371,   0.0000,   0.1772,   0.0464,   0.0000,   0.0813,   0.0000,   0.7770,   0.0792,   0.8312,   0.2311,   0.0000,   0.0000,   0.2641,   0.0000,   0.2641,   0.0000,   0.0000,   0.4830,   0.0000,   0.4830,   0.0000,   0.0000,   0.0526,   0.0000,   0.0526,   0.0000,   0.0000,   0.0903,   0.0000,   0.0903,   0.0000,   0.0000,   0.1057,   0.0000,   0.1057,   1.2326,   0.2695,   0.0000,   0.0000,   0.8613,   0.0000,   0.0000,   0.0724,   0.0000,   0.0724,   0.0000,   0.0000,   0.0499,   0.0000,   0.0499,   1.2403,   0.0179,   0.0720,   0.0899,   0.0701,
   27,   2.1914,   0.0106,   0.0632,   0.0000,   0.0120,   0.0000,   0.0083,   0.0000,   0.0245,   0.0245,   2.1888,   0.7181,   0.0323,   0.0000,   0.0717,   2.1888,   0.1663,   0.0301,   0.0000,   0.0341,   0.0000,   0.0000,   0.0259,   0.0000,   0.0259,   0.0000,   0.0000,   0.1218,   0.0000,   0.1218,   0.0000,   0.0000,   0.0623,   0.0000,   0.0623,   0.0000,   0.0000,   0.0879,   0.8577,   0.5229,   0.0000,   0.1699,   0.0453,   0.0000,   0.0785,   0.0000,   0.7651,   0.0725,   0.8113,   0.2217,   0.0000,   0.0000,   0.2419,   0.0000,   0.2419,   0.0000,   0.0000,   0.4423,   0.0000,   0.4423,   0.0000,   0.0000,   0.0514,   0.0000,   0.0514,   0.0000,   0.0000,   0.0877,   0.0000,   0.0877,   0.0000,   0.0000,   0.1027,   0.0000,   0.1027,   1.1874,   0.2583,   0.0000,   0.0000,   0.8293,   0.0000,   0.0000,   0.0702,   0.0000,   0.0702,   0.0000,   0.0000,   0.0487,   0.0000,   0.0487,   1.1950,   0.0172,   0.0683,   0.0878,   0.0674,
   28,   2.1237,   0.0102,   0.0616,   0.0000,   0.0116,   0.0000,   0.0080,   0.0000,   0.0238,   0.0238,   2.1212,   0.6934,   0.0315,   0.0000,   0.0696,   2.1212,   0.1596,   0.0294,   0.0000,   0.0332,   0.0000,   0.0000,   0.0248,   0.0000,   0.0248,   0.0000,   0.0000,   0.1123,   0.0000,   0.1123,   0.0000,   0.0000,   0.0605,   0.0000,   0.0605,   0.0000,   0.0000,   0.0810,   0.8399,   0.5099,   0.0000,   0.1630,   0.0441,   0.0000,   0.0758,   0.0000,   0.7537,   0.0668,   0.7925,   0.2134,   0.0000,   0.0000,   0.2228,   0.0000,   0.2228,   0.0000,   0.0000,   0.4074,   0.0000,   0.4074,   0.0000,   0.0000,   0.0503,   0.0000,   0.0503,   0.0000,   0.0000,   0.0852,   0.0000,   0.0852,   0.0000,   0.0000,   0.0999,   0.0000,   0.0999,   1.1448,   0.2478,   0.0000,   0.0000,   0.7990,   0.0000,   0.0000,   0.0682,   0.0000,   0.0682,   0.0000,   0.0000,   0.0477,   0.0000,   0.0477,   1.1522,   0.0165,   0.0649,   0.0858,   0.0649,
   29,   2.0596,   0.0099,   0.0601,   0.0000,   0.0113,   0.0000,   0.0077,   0.0000,   0.0232,   0.0232,   2.0571,   0.6700,   0.0308,   0.0000,   0.0676,   2.0571,   0.1532,   0.0287,   0.0000,   0.0323,   0.0000,   0.0000,   0.0237,   0.0000,   0.0237,   0.0000,   0.0000,   0.1044,   0.0000,   0.1044,   0.0000,   0.0000,   0.0588,   0.0000,   0.0588,   0.0000,   0.0000,   0.0752,   0.8232,   0.4979,   0.0000,   0.1565,   0.0431,   0.0000,   0.0733,   0.0000,   0.7430,   0.0620,   0.7748,   0.2060,   0.0000,   0.0000,   0.2069,   0.0000,   0.2069,   0.0000,   0.0000,   0.3783,   0.0000,   0.3783,   0.0000,   0.0000,   0.0493,   0.0000,   0.0493,   0.0000,   0.0000,   0.0829,   0.0000,   0.0829,   0.0000,   0.0000,   0.0972,   0.0000,   0.0972,   1.1046,   0.2379,   0.0000,   0.0000,   0.7705,   0.0000,   0.0000,   0.0663,   0.0000,   0.0663,   0.0000,   0.0000,   0.0466,   0.0000,   0.0466,   1.1119,   0.0159,   0.0620,   0.0839,   0.0627,
   30,   1.9988,   0.0096,   0.0586,   0.0000,   0.0109,   0.0000,   0.0075,   0.0000,   0.0225,   0.0225,   1.9964,   0.6477,   0.0300,   0.0000,   0.0657,   1.9964,   0.1472,   0.0280,   0.0000,   0.0315,   0.0000,   0.0000,   0.0228,   0.0000,   0.0228,   0.0000,   0.0000,   0.0980,   0.0000,   0.0980,   0.0000,   0.0000,   0.0572,   0.0000,   0.0572,   0.0000,   0.0000,   0.0706,   0.8073,   0.4869,   0.0000,   0.1504,   0.0420,   0.0000,   0.0709,   0.0000,   0.7327,   0.0582,   0.7580,   0.1996,   0.0000,   0.0000,   0.1941,   0.0000,   0.1941,   0.0000,   0.0000,   0.3550,   0.0000,   0.3550,   0.0000,   0.0000,   0.0483,   0.0000,   0.0483,   0.0000,   0.0000,   0.0808,   0.0000,   0.0808,   0.0000,   0.0000,   0.0947,   0.0000,   0.0947,   1.0667,   0.2286,   0.0000,   0.0000,   0.7436,   0.0000,   0.0000,   0.0645,   0.0000,   0.0645,   0.0000,   0.0000,   0.0457,   0.0000,   0.0457,   1.0737,   0.0154,   0.0595,   0.0821,   0.0606,
   31,   1.9411,   0.0093,   0.0573,   0.0000,   0.0106,   0.0000,   0.0073,   0.0000,   0.0220,   0.0220,   1.9388,   0.6266,   0.0293,   0.0000,   0.0638,   1.9388,   0.1416,   0.0273,   0.0000,   0.0307,   0.0000,   0.0000,   0.0219,   0.0000,   0.0219,   0.0000,   0.0000,   0.0951,   0.0000,   0.0951,   0.0000,   0.0000,   0.0558,   0.0000,   0.0558,   0.0000,   0.0000,   0.0685,   0.7921,   0.4774,   0.0000,   0.1446,   0.0411,   0.0000,   0.0687,   0.0000,   0.7229,   0.0565,   0.7421,   0.1950,   0.0000,   0.0000,   0.1884,   0.0000,   0.1884,   0.0000,   0.0000,   0.3444,   0.0000,   0.3444,   0.0000,   0.0000,   0.0474,   0.0000,   0.0474,   0.0000,   0.0000,   0.0787,   0.0000,   0.0787,   0.0000,   0.0000,   0.0924,   0.0000,   0.0924,   1.0309,   0.2199,   0.0000,   0.0000,   0.7183,   0.0000,   0.0000,   0.0629,   0.0000,   0.0629,   0.0000,   0.0000,   0.0448,   0.0000,   0.0448,   1.0378,   0.0149,   0.0579,   0.0804,   0.0590,
   32,   1.8864,   0.0091,   0.0559,   0.0000,   0.0103,   0.0000,   0.0071,   0.0000,   0.0214,   0.0214,   1.8842,   0.6066,   0.0287,   0.0000,   0.0621,   1.8842,   0.1363,   0.0267,   0.0000,   0.0299,   0.0000,   0.0000,   0.0211,   0.0000,   0.0211,   0.0000,   0.0000,   0.0934,   0.0000,   0.0934,   0.0000,   0.0000,   0.0544,   0.0000,   0.0544,   0.0000,   0.0000,   0.0673,   0.7778,   0.4688,   0.0000,   0.1392,   0.0401,   0.0000,   0.0665,   0.0000,   0.7136,   0.0555,   0.7270,   0.1912,   0.0000,   0.0000,   0.1852,   0.0000,   0.1852,   0.0000,   0.0000,   0.3387,   0.0000,   0.3387,   0.0000,   0.0000,   0.0465,   0.0000,   0.0465,   0.0000,   0.0000,   0.0768,   0.0000,   0.0768,   0.0000,   0.0000,   0.0902,   0.0000,   0.0902,   0.9971,   0.2116,   0.0000,   0.0000,   0.6943,   0.0000,   0.0000,   0.0613,   0.0000,   0.0613,   0.0000,   0.0000,   0.0440,   0.0000,   0.0440,   1.0038,   0.0144,   0.0566,   0.0788,   0.0575,
