Speed,PC,PC,PC,PC,PC,TAXI,TAXI,TAXI,TAXI,TAXI,LGV3,LGV3,LGV3,LGV3,LGV3,LGV4,LGV4,LGV4,LGV4,LGV4,LGV6,LGV6,LGV6,LGV6,LGV6,HGV7,HGV7,HGV7,HGV7,HGV7,HGV8,HGV8,HGV8,HGV8,HGV8,PLB,PLB,PLB,PLB,PLB,PV4,PV4,PV4,PV4,PV4,PV5,PV5,PV5,PV5,PV5,NFB6,NFB6,NFB6,NFB6,NFB6,NFB7,NFB7,NFB7,NFB7,NFB7,NFB8,NFB8,NFB8,NFB8,NFB8,FBSD,FBSD,FBSD,FBSD,FBSD,FBDD,FBDD,FBDD,FBDD,FBDD,MC,MC,MC,MC,MC,HGV9,HGV9,HGV9,HGV9,HGV9,NFB9,NFB9,NFB9,NFB9,NFB9,ALL,ALL,ALL,ALL,ALL,
km/hr,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,

   70,   1.0711,   0.0073,   0.0294,   0.0000,   0.0079,   0.0000,   0.0062,   0.0000,   0.0116,   0.0116,   1.0698,   0.2806,   0.0151,   0.0000,   0.0319,   1.0698,   0.0590,   0.0141,   0.0000,   0.0154,   0.0000,   0.0000,   0.0118,   0.0000,   0.0118,   0.0000,   0.0000,   0.0533,   0.0000,   0.0533,   0.0000,   0.0000,   0.0334,   0.0000,   0.0334,   0.0000,   0.0000,   0.0360,   0.5324,   0.3166,   0.0000,   0.0601,   0.0211,   0.0000,   0.0315,   0.0000,   0.5182,   0.0297,   0.4352,   0.1118,   0.0000,   0.0000,   0.1067,   0.0000,   0.1067,   0.0000,   0.0000,   0.1952,   0.0000,   0.1952,   0.0000,   0.0000,   0.0313,   0.0000,   0.0313,   0.0000,   0.0000,   0.0442,   0.0000,   0.0442,   0.0000,   0.0000,   0.0557,   0.0000,   0.0557,   0.4988,   0.0914,   0.0000,   0.0000,   0.3418,   0.0000,   0.0000,   0.0375,   0.0000,   0.0375,   0.0000,   0.0000,   0.0293,   0.0000,   0.0293,   0.5031,   0.0095,   0.0329,   0.0506,   0.0337,
   71,   1.0698,   0.0073,   0.0291,   0.0000,   0.0080,   0.0000,   0.0063,   0.0000,   0.0114,   0.0114,   1.0685,   0.2783,   0.0150,   0.0000,   0.0317,   1.0685,   0.0586,   0.0139,   0.0000,   0.0152,   0.0000,   0.0000,   0.0118,   0.0000,   0.0118,   0.0000,   0.0000,   0.0533,   0.0000,   0.0533,   0.0000,   0.0000,   0.0334,   0.0000,   0.0334,   0.0000,   0.0000,   0.0355,   0.5389,   0.3200,   0.0000,   0.0598,   0.0209,   0.0000,   0.0313,   0.0000,   0.5152,   0.0293,   0.4311,   0.1106,   0.0000,   0.0000,   0.1067,   0.0000,   0.1067,   0.0000,   0.0000,   0.1952,   0.0000,   0.1952,   0.0000,   0.0000,   0.0313,   0.0000,   0.0313,   0.0000,   0.0000,   0.0442,   0.0000,   0.0442,   0.0000,   0.0000,   0.0557,   0.0000,   0.0557,   0.4972,   0.0909,   0.0000,   0.0000,   0.3406,   0.0000,   0.0000,   0.0375,   0.0000,   0.0375,   0.0000,   0.0000,   0.0293,   0.0000,   0.0293,   0.5015,   0.0095,   0.0328,   0.0509,   0.0337,
   72,   1.0692,   0.0074,   0.0288,   0.0000,   0.0080,   0.0000,   0.0063,   0.0000,   0.0113,   0.0113,   1.0680,   0.2762,   0.0148,   0.0000,   0.0314,   1.0680,   0.0583,   0.0138,   0.0000,   0.0151,   0.0000,   0.0000,   0.0118,   0.0000,   0.0118,   0.0000,   0.0000,   0.0533,   0.0000,   0.0533,   0.0000,   0.0000,   0.0334,   0.0000,   0.0334,   0.0000,   0.0000,   0.0350,   0.5464,   0.3240,   0.0000,   0.0595,   0.0207,   0.0000,   0.0310,   0.0000,   0.5122,   0.0288,   0.4271,   0.1095,   0.0000,   0.0000,   0.1067,   0.0000,   0.1067,   0.0000,   0.0000,   0.1952,   0.0000,   0.1952,   0.0000,   0.0000,   0.0313,   0.0000,   0.0313,   0.0000,   0.0000,   0.0442,   0.0000,   0.0442,   0.0000,   0.0000,   0.0557,   0.0000,   0.0557,   0.4959,   0.0904,   0.0000,   0.0000,   0.3396,   0.0000,   0.0000,   0.0375,   0.0000,   0.0375,   0.0000,   0.0000,   0.0293,   0.0000,   0.0293,   0.5003,   0.0096,   0.0328,   0.0513,   0.0337,
   73,   1.0694,   0.0074,   0.0286,   0.0000,   0.0080,   0.0000,   0.0063,   0.0000,   0.0112,   0.0112,   1.0681,   0.2742,   0.0147,   0.0000,   0.0312,   1.0681,   0.0581,   0.0137,   0.0000,   0.0150,   0.0000,   0.0000,   0.0118,   0.0000,   0.0118,   0.0000,   0.0000,   0.0533,   0.0000,   0.0533,   0.0000,   0.0000,   0.0334,   0.0000,   0.0334,   0.0000,   0.0000,   0.0345,   0.5547,   0.3285,   0.0000,   0.0592,   0.0205,   0.0000,   0.0308,   0.0000,   0.5094,   0.0284,   0.4232,   0.1084,   0.0000,   0.0000,   0.1067,   0.0000,   0.1067,   0.0000,   0.0000,   0.1952,   0.0000,   0.1952,   0.0000,   0.0000,   0.0313,   0.0000,   0.0313,   0.0000,   0.0000,   0.0442,   0.0000,   0.0442,   0.0000,   0.0000,   0.0557,   0.0000,   0.0557,   0.4951,   0.0900,   0.0000,   0.0000,   0.3389,   0.0000,   0.0000,   0.0375,   0.0000,   0.0375,   0.0000,   0.0000,   0.0293,   0.0000,   0.0293,   0.4994,   0.0096,   0.0327,   0.0517,   0.0338,
   74,   1.0704,   0.0074,   0.0283,   0.0000,   0.0081,   0.0000,   0.0064,   0.0000,   0.0111,   0.0111,   1.0691,   0.2725,   0.0145,   0.0000,   0.0311,   1.0691,   0.0579,   0.0135,   0.0000,   0.0148,   0.0000,   0.0000,   0.0118,   0.0000,   0.0118,   0.0000,   0.0000,   0.0533,   0.0000,   0.0533,   0.0000,   0.0000,   0.0334,   0.0000,   0.0334,   0.0000,   0.0000,   0.0340,   0.5639,   0.3335,   0.0000,   0.0590,   0.0203,   0.0000,   0.0306,   0.0000,   0.5066,   0.0281,   0.4194,   0.1073,   0.0000,   0.0000,   0.1067,   0.0000,   0.1067,   0.0000,   0.0000,   0.1952,   0.0000,   0.1952,   0.0000,   0.0000,   0.0313,   0.0000,   0.0313,   0.0000,   0.0000,   0.0442,   0.0000,   0.0442,   0.0000,   0.0000,   0.0557,   0.0000,   0.0557,   0.4946,   0.0897,   0.0000,   0.0000,   0.3385,   0.0000,   0.0000,   0.0375,   0.0000,   0.0375,   0.0000,   0.0000,   0.0293,   0.0000,   0.0293,   0.4989,   0.0096,   0.0326,   0.0522,   0.0339,
   75,   1.0721,   0.0075,   0.0280,   0.0000,   0.0081,   0.0000,   0.0064,   0.0000,   0.0110,   0.0110,   1.0708,   0.2709,   0.0144,   0.0000,   0.0309,   1.0708,   0.0577,   0.0134,   0.0000,   0.0147,   0.0000,   0.0000,   0.0118,   0.0000,   0.0118,   0.0000,   0.0000,   0.0533,   0.0000,   0.0533,   0.0000,   0.0000,   0.0334,   0.0000,   0.0334,   0.0000,   0.0000,   0.0336,   0.5740,   0.3390,   0.0000,   0.0589,   0.0202,   0.0000,   0.0305,   0.0000,   0.5038,   0.0277,   0.4156,   0.1062,   0.0000,   0.0000,   0.1067,   0.0000,   0.1067,   0.0000,   0.0000,   0.1952,   0.0000,   0.1952,   0.0000,   0.0000,   0.0313,   0.0000,   0.0313,   0.0000,   0.0000,   0.0442,   0.0000,   0.0442,   0.0000,   0.0000,   0.0557,   0.0000,   0.0557,   0.4945,   0.0895,   0.0000,   0.0000,   0.3383,   0.0000,   0.0000,   0.0375,   0.0000,   0.0375,   0.0000,   0.0000,   0.0293,   0.0000,   0.0293,   0.4988,   0.0097,   0.0326,   0.0528,   0.0340,
   76,   1.0745,   0.0075,   0.0278,   0.0000,   0.0081,   0.0000,   0.0064,   0.0000,   0.0109,   0.0109,   1.0732,   0.2695,   0.0143,   0.0000,   0.0307,   1.0732,   0.0576,   0.0133,   0.0000,   0.0146,   0.0000,   0.0000,   0.0118,   0.0000,   0.0118,   0.0000,   0.0000,   0.0533,   0.0000,   0.0533,   0.0000,   0.0000,   0.0334,   0.0000,   0.0334,   0.0000,   0.0000,   0.0332,   0.5850,   0.3450,   0.0000,   0.0587,   0.0200,   0.0000,   0.0303,   0.0000,   0.5011,   0.0273,   0.4120,   0.1052,   0.0000,   0.0000,   0.1067,   0.0000,   0.1067,   0.0000,   0.0000,   0.1952,   0.0000,   0.1952,   0.0000,   0.0000,   0.0313,   0.0000,   0.0313,   0.0000,   0.0000,   0.0442,   0.0000,   0.0442,   0.0000,   0.0000,   0.0557,   0.0000,   0.0557,   0.4947,   0.0893,   0.0000,   0.0000,   0.3384,   0.0000,   0.0000,   0.0375,   0.0000,   0.0375,   0.0000,   0.0000,   0.0293,   0.0000,   0.0293,   0.4991,   0.0097,   0.0325,   0.0535,   0.0342,
   77,   1.0777,   0.0076,   0.0276,   0.0000,   0.0082,   0.0000,   0.0065,   0.0000,   0.0109,   0.0109,   1.0764,   0.2683,   0.0142,   0.0000,   0.0306,   1.0764,   0.0575,   0.0132,   0.0000,   0.0145,   0.0000,   0.0000,   0.0118,   0.0000,   0.0118,   0.0000,   0.0000,   0.0533,   0.0000,   0.0533,   0.0000,   0.0000,   0.0334,   0.0000,   0.0334,   0.0000,   0.0000,   0.0327,   0.5969,   0.3516,   0.0000,   0.0587,   0.0198,   0.0000,   0.0302,   0.0000,   0.4984,   0.0270,   0.4084,   0.1042,   0.0000,   0.0000,   0.1067,   0.0000,   0.1067,   0.0000,   0.0000,   0.1952,   0.0000,   0.1952,   0.0000,   0.0000,   0.0313,   0.0000,   0.0313,   0.0000,   0.0000,   0.0442,   0.0000,   0.0442,   0.0000,   0.0000,   0.0557,   0.0000,   0.0557,   0.4954,   0.0892,   0.0000,   0.0000,   0.3388,   0.0000,   0.0000,   0.0375,   0.0000,   0.0375,   0.0000,   0.0000,   0.0293,   0.0000,   0.0293,   0.4998,   0.0097,   0.0324,   0.0543,   0.0343,
   78,   1.0817,   0.0076,   0.0273,   0.0000,   0.0082,   0.0000,   0.0065,   0.0000,   0.0109,   0.0109,   1.0804,   0.2673,   0.0141,   0.0000,   0.0305,   1.0804,   0.0575,   0.0131,   0.0000,   0.0144,   0.0000,   0.0000,   0.0118,   0.0000,   0.0118,   0.0000,   0.0000,   0.0533,   0.0000,   0.0533,   0.0000,   0.0000,   0.0334,   0.0000,   0.0334,   0.0000,   0.0000,   0.0323,   0.6097,   0.3586,   0.0000,   0.0587,   0.0197,   0.0000,   0.0301,   0.0000,   0.4958,   0.0267,   0.4049,   0.1032,   0.0000,   0.0000,   0.1067,   0.0000,   0.1067,   0.0000,   0.0000,   0.1952,   0.0000,   0.1952,   0.0000,   0.0000,   0.0313,   0.0000,   0.0313,   0.0000,   0.0000,   0.0442,   0.0000,   0.0442,   0.0000,   0.0000,   0.0557,   0.0000,   0.0557,   0.4964,   0.0892,   0.0000,   0.0000,   0.3394,   0.0000,   0.0000,   0.0375,   0.0000,   0.0375,   0.0000,   0.0000,   0.0293,   0.0000,   0.0293,   0.5008,   0.0098,   0.0324,   0.0552,   0.0346,
   79,   1.0864,   0.0077,   0.0271,   0.0000,   0.0083,   0.0000,   0.0066,   0.0000,   0.0109,   0.0109,   1.0852,   0.2664,   0.0139,   0.0000,   0.0304,   1.0852,   0.0575,   0.0130,   0.0000,   0.0143,   0.0000,   0.0000,   0.0118,   0.0000,   0.0118,   0.0000,   0.0000,   0.0533,   0.0000,   0.0533,   0.0000,   0.0000,   0.0334,   0.0000,   0.0334,   0.0000,   0.0000,   0.0320,   0.6233,   0.3662,   0.0000,   0.0587,   0.0195,   0.0000,   0.0300,   0.0000,   0.4932,   0.0264,   0.4015,   0.1023,   0.0000,   0.0000,   0.1067,   0.0000,   0.1067,   0.0000,   0.0000,   0.1952,   0.0000,   0.1952,   0.0000,   0.0000,   0.0313,   0.0000,   0.0313,   0.0000,   0.0000,   0.0442,   0.0000,   0.0442,   0.0000,   0.0000,   0.0557,   0.0000,   0.0557,   0.4978,   0.0893,   0.0000,   0.0000,   0.3403,   0.0000,   0.0000,   0.0375,   0.0000,   0.0375,   0.0000,   0.0000,   0.0293,   0.0000,   0.0293,   0.5022,   0.0098,   0.0323,   0.0561,   0.0348,
